id,page_views,downloads,columns,agency,d,r,g,b
kvhd-5fmu,787,479.0,33,Mayor's Office for Economic Opportunity,29.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
wffy-3iyg,787,605.0,5,Department of Health and Mental Hygiene (DOHMH),3.0,0.7372549019607844,0.5019607843137255,0.7411764705882353
5dmv-5d3w,785,0.0,0,Department of Buildings (DOB),0.0,0.7450980392156863,0.7294117647058823,0.8549019607843137
pfn4-vjwr,783,3002.0,24,Department of Education (DOE),747.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
qvtg-k2hn,783,695.0,0,Department of Parks and Recreation (DPR),0.0,0.7450980392156863,0.7294117647058823,0.8549019607843137
hypw-js3b,782,762.0,63,Mayor's Office of Sustainability (MOS),717.0,0.9921568627450981,0.7058823529411765,0.3843137254901961
64vf-hxyb,781,85.0,0,Mayor's Office of Contract Services (MOCS),0.0,0.8,0.9215686274509803,0.7725490196078432
evdj-a5z2,780,209.0,0,Department of Transportation (DOT),0.0,0.984313725490196,0.5019607843137255,0.4470588235294118
rskq-5bfv,780,1913.0,3,Department of Cultural Affairs (DCLA),11.0,0.7,0.7,0.0
ts56-fkf5,780,290.0,0,Landmarks Preservation Commission (LPC),0.0,0.7,0.7,0.0
w76s-c5u4,780,360.0,57,Department of Transportation (DOT),601.0,0.984313725490196,0.5019607843137255,0.4470588235294118
mran-v46w,778,887.0,0,Department of City Planning (DCP),0.0,0.9921568627450981,0.7058823529411765,0.3843137254901961
qfk7-6ens,776,1408.0,11,Department of Education (DOE),257.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
hxm3-23vy,776,383.0,13,Department of City Planning (DCP),29.0,0.9921568627450981,0.7058823529411765,0.3843137254901961
6yag-pnij,771,236.0,3,Department of Sanitation (DSNY),43.0,0.984313725490196,0.5019607843137255,0.4470588235294118
ige5-v6sk,770,1039.0,0,Department of City Planning (DCP),0.0,0.9921568627450981,0.7058823529411765,0.3843137254901961
ge8j-uqbf,770,1205.0,24,Department of Education (DOE),375.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
szbc-ua9b,769,201.0,0,Other,0.0,1.0,0.9294117647058824,0.43529411764705883
5hjv-bjbv,768,284.0,7,Mayor's Office of Management & Budget (OMB),28.0,1.0,0.9294117647058824,0.43529411764705883
d28w-n2x4,766,5752.0,33,Department of Education (DOE),324.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
xefy-6ent,765,1487.0,9,Department of Education (DOE),661.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
7drd-wqcf,762,83.0,32,Department of Information Technology & Telecommunications (DoITT),717.0,1.0,1.0,0.7019607843137254
k65y-fzgq,761,277.0,17,Department of Education (DOE),796.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
8fei-z6rz,759,1492.0,19,Department of Consumer Affairs (DCA),489.0,0.984313725490196,0.5019607843137255,0.4470588235294118
piri-jns7,759,1285.0,3,Department of Education (DOE),345.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
dzrn-z4d7,757,337.0,7,Department of Information Technology & Telecommunications (DoITT),73.0,1.0,1.0,0.7019607843137254
vijr-8gr7,756,96.0,0,City University of New York (CUNY),0.0,0.7,0.7,0.0
vwpc-kje2,755,4248.0,10,311,40.0,0.9921568627450981,0.7058823529411765,0.3843137254901961
3w3r-v568,752,631.0,0,Metropolitan Transportation Authority (MTA),0.0,0.7,0.7,0.0
nd82-bi9f,752,1510.0,9,Mayor's Office of Contract Services (MOCS),133.0,0.8,0.9215686274509803,0.7725490196078432
fi97-k4k6,752,192.0,22,Department of Health and Mental Hygiene (DOHMH),695.0,0.7372549019607844,0.5019607843137255,0.7411764705882353
pbi9-jd5i,751,0.0,0,Department of Parks and Recreation (DPR),0.0,0.7450980392156863,0.7294117647058823,0.8549019607843137
un8d-rbed,750,451.0,23,Department of Small Business Services (SBS),732.0,0.7019607843137254,0.8705882352941177,0.4117647058823529
jcih-dj9q,748,1678.0,70,Department of Finance (DOF),707.0,0.5019607843137255,0.6941176470588235,0.8274509803921568
6ctv-n46c,747,997.0,6,City Council (NYCC),127.0,0.7,0.7,0.0
uzgy-xh4j,747,280.0,0,Department of Transportation (DOT),0.0,0.984313725490196,0.5019607843137255,0.4470588235294118
t9nw-j73k,742,1517.0,32,Department of Transportation (DOT),91.0,0.984313725490196,0.5019607843137255,0.4470588235294118
824w-7c8u,742,71.0,0,Mayor's Office of Contract Services (MOCS),0.0,0.8,0.9215686274509803,0.7725490196078432
62mr-ukqs,740,1549.0,57,Department of Finance (DOF),703.0,0.5019607843137255,0.6941176470588235,0.8274509803921568
42et-jh9v,738,1581.0,17,Department of Education (DOE),304.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
jhn3-4vdj,735,1874.0,4,Department of Homeless Services (DHS),8.0,0.5019607843137255,0.6941176470588235,0.8274509803921568
ymvu-4x4s,734,1955.0,3,Department of Information Technology & Telecommunications (DoITT),598.0,1.0,1.0,0.7019607843137254
kevu-8hby,734,200.0,117,Department of Finance (DOF),320.0,0.5019607843137255,0.6941176470588235,0.8274509803921568
8mzw-jfss,732,2307.0,38,Department of Education (DOE),586.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
v2kq-qrx6,732,237.0,26,"Office of Film, Theatre, and Broadcasting (FILM)",729.0,0.7,0.7,0.0
hkpx-aaxc,732,692.0,0,Department of City Planning (DCP),0.0,0.9921568627450981,0.7058823529411765,0.3843137254901961
7s3q-rztu,726,2136.0,7,Department of Finance (DOF),28.0,0.5019607843137255,0.6941176470588235,0.8274509803921568
a94k-kjys,726,1061.0,14,School Construction Authority (SCA),231.0,1.0,1.0,0.7019607843137254
b2m2-7ih3,725,128.0,0,Department of Design and Construction (DDC),0.0,0.7,0.7,0.0
mfmf-gtvc,724,787.0,22,Department of City Planning (DCP),410.0,0.9921568627450981,0.7058823529411765,0.3843137254901961
37it-gmcp,723,1408.0,31,Economic Development Corporation (EDC),714.0,0.7,0.7,0.0
rpeq-j89e,722,312.0,7,Department of Consumer Affairs (DCA),96.0,0.984313725490196,0.5019607843137255,0.4470588235294118
pn7c-bqri,721,492.0,0,Department of Parks and Recreation (DPR),0.0,0.7450980392156863,0.7294117647058823,0.8549019607843137
gkd7-3vk7,719,1492.0,16,School Construction Authority (SCA),32.0,1.0,1.0,0.7019607843137254
r75y-8qe7,715,5150.0,15,Department of Education (DOE),372.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
wymh-dvmd,712,636.0,7,Department of Health and Mental Hygiene (DOHMH),330.0,0.7372549019607844,0.5019607843137255,0.7411764705882353
9umc-3b2y,708,1264.0,21,Manhattan Borough President (MBPO),821.0,0.7,0.7,0.0
p8e4-uwuv,708,1523.0,5,School Construction Authority (SCA),24.0,1.0,1.0,0.7019607843137254
i9pf-sj7c,707,1483.0,102,Department of Education (DOE),375.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
hzb8-928j,706,343.0,0,Department of Sanitation (DSNY),0.0,0.984313725490196,0.5019607843137255,0.4470588235294118
khqi-x3p3,704,1358.0,24,Department of Education (DOE),407.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
yqkf-i7a4,701,2547.0,26,Department of Youth and Community Development (DYCD),654.0,0.8,0.9215686274509803,0.7725490196078432
phth-xf25,700,1074.0,16,Department of Education (DOE),554.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
n7ta-pz8k,698,1539.0,6,School Construction Authority (SCA),597.0,1.0,1.0,0.7019607843137254
